a,age [Gyr],lookback [Gyr],Time until next [Myr],,omega0,H0,Calculator
0.2,1.5469,12.23,116.669,,0.3036,68.14,http://home.fnal.gov/~gnedin/cc/
0.21,1.6636,12.114,119.303,,,,
0.22,1.7829,11.994,121.848,,,,
0.23,1.9048,11.873,124.306,,,,
0.24,2.0291,11.748,126.68,,,,
0.25,2.1558,11.622,128.972,,,,
0.26,2.2847,11.493,131.183,,,,
0.27,2.4159,11.361,133.315,,,,
0.28,2.5492,11.228,135.369,,,,
0.29,2.6846,11.093,137.346,,,,
0.3,2.8219,10.955,139.248,,,,
0.31,2.9612,10.816,141.075,,,,
0.32,3.1023,10.675,142.828,,,,
0.33,3.2451,10.532,144.508,,,,
0.34,3.3896,10.388,146.115,,,,
0.35,3.5357,10.242,147.65,,,,
0.36,3.6834,10.094,149.113,,,,
0.37,3.8325,9.945,150.506,,,,
0.38,3.983,9.794,151.828,,,,
0.39,4.1348,9.642,153.08,,,,
0.4,4.2879,9.489,154.263,,,,
0.41,4.4422,9.335,155.378,,,,
0.42,4.5975,9.18,156.426,,,,
0.43,4.754,9.023,157.406,,,,
0.44,4.9114,8.866,158.321,,,,
0.45,5.0697,8.708,159.17,,,,
0.46,5.2289,8.548,159.955,,,,
0.47,5.3888,8.388,160.676,,,,
0.48,5.5495,8.228,161.335,,,,
0.49,5.7108,8.066,161.933,,,,
0.5,5.8728,7.905,162.471,,,,
0.51,6.0352,7.742,162.95,,,,
0.52,6.1982,7.579,163.371,,,,
0.53,6.3615,7.416,163.736,,,,
0.54,6.5253,7.252,164.045,,,,